sent_bin,trades,avg_pnl,win_rate
0-20,13139,52.09224492419515,41.608950452850294
20-40,59426,39.15884879182512,40.4957426042473
40-60,58035,49.73766233459119,39.86215214956491
60-80,66303,43.84189176174532,41.31638085757809
80-100,14315,101.2657360724415,47.523576667830945
